Lambda,acc,mse_krr,mse_lrr,mse_nn
78.0,0.8540889039701391,1.0581325108546913,1.15332507901759,0.6078091944245937
79.0,0.8975229046487954,2.3484515657824074,1.4572708365487081,0.5749750021407947
80.0,0.8781812012215813,1.6498433915328896,1.444466250841776,0.5883436964664889
81.0,0.8998982015609094,1.0871147965449692,1.1870667020046628,0.6483805798176348
82.0,0.8903970139124533,1.96611899670559,1.4738067460665685,0.5277552383957614
83.0,0.7787580590430947,3.8015852324172323,2.281379638761953,0.6382322855530819
84.0,0.8608754665761792,1.2662346471766013,1.0211992587370637,0.5662281612387152
85.0,0.8853070919579233,1.0271258593119224,1.0818945519138323,0.558785554571912
86.0,0.8876823888700374,3.2164315784696056,1.3689329507101633,0.5680017444285277
87.0,0.8601968103155752,1.951770204747273,0.9518195523258381,0.6307532921864146
100.0,0.8663047166610112,1.437622893593751,1.0614404266626716,0.5706555753857826
