Noise,acc,acc_pca,mse,mse_krr,mse_lrr,mse_pca,mse_pca_krr,mse_pca_lrr
0.1,0.9029521547336274,0.7997964031218188,0.26707221100785006,0.17369713238782972,0.1837654308176067,0.742489346395825,0.48659982663845924,1.1741735339029808
0.15,0.9063454360366474,0.7672209026128266,0.23007775491255103,0.16916156301770527,0.17162676544626698,0.7665069423498543,0.45639552865505645,1.130827777839855
0.2,0.8836104513064132,0.7590770274855786,0.25459257763249604,0.18653775449705945,0.19375217363682487,0.7647105793701844,0.4999108155869404,1.1804545053790976
0.25,0.9100780454699695,0.6810315575161181,0.2592726248379238,0.18988950565975235,0.1871533837038932,0.7761183084317747,0.5126292489513735,1.1945354427838173
0.3,0.8574821852731591,0.7611129962673906,0.2612224139418921,0.2074479690519656,0.20095257720614187,0.7885620940586717,0.5247458386933931,1.2132782534016164
0.35,0.8958262639972854,0.7071598235493722,0.24130630808154802,0.16041019282900254,0.16787012413559707,0.7486474353206025,0.5144970799059191,1.189012590348105
0.4,0.9056667797760435,0.7353240583644384,0.27880902265331353,0.19285312616667832,0.2061810720951067,0.8144071805522646,0.5569913391003174,1.2551054778017103
0.45,0.8978622327790974,0.7458432304038005,0.21320911170942888,0.15641456571057474,0.15557907208807242,0.7787465145996159,0.5200581410210124,1.1943847956930143
0.5,0.8900576857821514,0.7366813708856464,0.2521016341043193,0.21186573264064112,0.21029755809667286,0.8039319608870522,0.5514218869413472,1.2466957419557043
0.55,0.9039701391245334,0.7417712928401764,0.2614613846279141,0.18199591987783542,0.18623167835932744,0.7776748341069278,0.5382824103900666,1.2293536554360032
0.6,0.8944689514760774,0.7529691211401425,0.24727951024701061,0.16209326331469515,0.1755021506654964,0.8070037757104968,0.5568681091419841,1.2708679939596204
0.65,0.8788598574821853,0.7186969799796403,0.2855453369274688,0.20624000212910348,0.22107646184840693,0.7930592037405091,0.6113309358252164,1.3619400679773481
0.7,0.9209365456396336,0.7614523243976926,0.24245885088425534,0.19903902110171767,0.18681340377863379,0.8145203163399868,0.5828754608061449,1.3180848556827822
0.75,0.9073634204275535,0.7129284017645062,0.22433685302116163,0.17497746756408747,0.17080172662927887,0.8039828469260394,0.5470241161173571,1.2603194592871212
0.8,0.8829317950458093,0.6582965727858839,0.22870919260856534,0.15141890806465827,0.16697535559707385,0.771839023539887,0.5880555902345236,1.2829703413542555
0.85,0.8853070919579233,0.5894129623345775,0.26574012934327956,0.17869634312051624,0.1976869262358575,0.7984650460448753,0.6364391518829924,1.3764817781929546
0.9,0.8836104513064132,0.6053613844587716,0.2623571139018402,0.18521376526890926,0.19603229146942008,0.7643723796604512,0.5719233715654047,1.2674712149615945
