Lambda,acc,mse_nn,mse_lrr,mse_krr
0.38,0.9886,19.941689540816327,61.912301658163265,70.73867181122449
0.39,0.9882,19.180588775510206,60.18600829081633,72.33625599489797
0.4,0.9899,20.30571594387755,61.395240433673465,71.78904821428571
0.41,0.9888,18.943216581632655,65.4399306122449,69.12525905612245
0.42,0.9899,19.90112168367347,61.388207015306115,71.64241224489797
0.43,0.9886,19.446010841836735,58.80778456632653,69.43801530612245
0.44,0.9888,18.339917091836735,61.51471045918367,70.70168915816326
0.45,0.9878,18.716332015306126,63.0370724489796,69.90364846938776
0.46,0.9891,19.478917091836735,61.86377117346939,71.15166619897958
0.47,0.9894,19.721917984693874,61.17984209183673,69.7958318877551
0.48,0.9901,18.86975051020408,57.87328711734693,70.19227831632654
0.49,0.9888,18.589235459183673,62.98101454081632,70.72622525510205
0.5,0.9884,18.300422448979592,65.54565803571428,68.94368035714284
0.51,0.9895,18.361186096938773,58.4305543367347,69.5693093112245
0.52,0.9872,19.11698265306122,59.18064336734693,70.46170599489797
0.53,0.991,18.62798711734694,58.83069987244898,71.07919821428573
0.54,0.9883,18.5752375,61.05195153061225,69.64051479591836
0.55,0.9874,18.74888711734694,63.161373979591836,69.25995841836733
0.56,0.9902,18.754832653061225,56.46203711734694,70.10378711734694
0.57,0.9898,18.684089158163268,70.84129260204082,69.46485102040818
0.58,0.9893,19.084728954081633,63.50299846938775,70.32012346938777
0.59,0.9884,18.548389923469387,60.13471798469387,71.91698979591837
0.6,0.9871,18.496554719387756,60.564533545918366,68.21099897959184
0.61,0.9903,18.433117219387753,58.8492030612245,70.45961352040817
0.62,0.9886,18.940175765306122,62.8723168367347,68.23936109693878
0.63,0.9891,18.64928788265306,63.33103584183674,70.4286081632653
0.64,0.9872,18.585218494897955,61.14471084183673,70.1372730867347
0.65,0.9886,18.487974107142854,61.191168622448984,67.94325471938777
0.66,0.9905,18.309820790816325,66.31559158163266,70.54718903061223
0.67,0.9894,18.415038647959182,61.41376492346939,70.24721530612244
0.68,0.9878,18.41322971938775,66.43960778061223,67.28529298469387
0.69,0.989,18.50931020408163,64.45134119897959,70.26631160714287
0.7,0.9903,18.828432653061224,57.20955790816327,69.90270739795919
0.71,0.9904,18.661138903061225,62.576123979591834,69.72684591836735
0.72,0.9902,18.827851785714284,66.15766632653062,67.97906607142856
0.73,0.9911,18.14760051020408,59.97349272959183,68.40234693877551
0.74,0.9888,18.4177943877551,59.707844260204084,70.89214706632653
0.75,0.9894,18.47960255102041,62.99667397959183,70.07929043367346
0.76,0.9912,18.501515178571427,58.580659311224494,67.88533839285714
0.77,0.9894,18.485242857142858,63.905304719387765,70.72446581632653
0.78,0.9888,18.409798341836733,64.92090969387755,69.08123099489796
0.79,0.9893,18.360619515306123,67.92515829081633,68.58662895408162
0.8,0.9903,18.499747321428572,64.5057549744898,69.051893622449
0.81,0.9901,18.332492602040816,68.09852895408163,70.51216530612245
0.82,0.9878,18.12319183673469,61.715106505102035,68.68375867346938
0.83,0.9891,18.344811096938773,61.706713520408165,70.50658647959183
0.84,0.9895,18.21053647959184,64.22600841836734,68.15651849489795
0.85,0.9901,18.44285918367347,61.452537755102036,68.85774821428572
0.86,0.9889,18.225210841836734,64.87975165816327,70.52910892857143
0.87,0.9897,18.489827040816326,62.746147066326536,69.20471849489795
0.88,0.9899,18.42026364795918,59.81036619897959,71.79358826530611
0.89,0.9898,18.220136479591837,59.70060625,69.61920739795919
0.9,0.9885,18.219647959183675,68.77066084183673,68.61167818877551
