Noise,acc,mse
0.1,0.9885,0.38196058673469385
0.15000000000000002,0.9861,0.8548542091836735
0.2,0.9876,1.5452701530612245
0.25,0.9893,2.4597875000000005
0.3,0.9875,3.569045025510204
0.35,0.9891,4.839748341836734
0.39999999999999997,0.9893,6.250858418367346
0.44999999999999996,0.9874,7.731713903061225
0.49999999999999994,0.9867,9.258008928571428
0.5499999999999999,0.9892,10.808378571428573
0.6,0.9867,12.350213903061224
0.65,0.9894,13.851320280612246
0.7000000000000001,0.9891,15.33687818877551
0.7500000000000001,0.9866,16.787407653061226
0.8000000000000002,0.9882,18.174820535714286
0.8500000000000002,0.9891,19.516747704081634
0.9000000000000002,0.9882,20.774640688775513
