Noise,acc,mse
0.1,0.81,89.13481703016492
0.15,0.7783333333333333,96.04796244303385
0.2,0.7758333333333334,99.16497755262586
0.25,0.7408333333333333,100.83073432074653
0.3,0.7216666666666667,101.74552524142794
0.35,0.7308333333333333,102.35373236762153
0.4,0.6925,102.72863945855033
0.45,0.7116666666666667,102.99660047743056
0.5,0.6658333333333334,103.18826382107206
0.55,0.6708333333333333,103.32178283691407
0.6,0.6741666666666667,103.42979193793403
0.65,0.6608333333333334,103.49867499457466
0.7,0.6683333333333333,103.56570054796006
0.75,0.6433333333333333,103.62267354329427
0.8,0.6575,103.6430883110894
0.85,0.6241666666666666,103.65447265625
0.9,0.6458333333333334,103.68399766710068
