Noise,acc,mse
0.1,0.8441666666666666,4.783306070963541
0.15,0.8375,10.055791015625
0.2,0.8375,16.444370049370658
0.25,0.8508333333333333,23.066528523763022
0.3,0.845,29.411138916015624
0.35,0.8358333333333333,35.26582356770833
0.4,0.8366666666666667,40.54604336208767
0.45,0.8425,45.31040622287326
0.5,0.8416666666666667,49.58425516764323
0.55,0.8308333333333333,53.42201178656684
0.6,0.8216666666666667,56.840016547309034
0.65,0.825,59.955756496853304
0.7,0.8066666666666666,62.7668335639106
0.75,0.8258333333333333,65.30811591254341
0.8,0.8058333333333333,67.62975660536024
0.85,0.8033333333333333,69.7407073296441
0.9,0.8041666666666667,71.69576158311632
