Noise,acc,acc_pca,mse,mse_krr,mse_lrr,mse_pca,mse_pca_krr,mse_pca_lrr
0.1,0.8466666666666667,0.8508333333333333,79.42633022732204,103.27272148980035,105.2606677924262,82.91098720974392,104.0679822455512,101.41989203559028
0.15,0.8658333333333333,0.8483333333333334,81.57967576768662,103.02679206000434,102.9582972547743,85.5960289171007,105.04436048719619,101.67588243272569
0.2,0.86,0.8291666666666667,81.02195421006945,102.35951965332032,104.48342848036023,86.90956563313802,103.69466044108073,101.8363309733073
0.25,0.8558333333333333,0.835,80.42398390028212,104.04330939398871,101.1814271375868,89.62934434678819,106.25793246799044,102.54835035536024
0.3,0.8533333333333334,0.825,81.47380167643229,104.41116821289063,104.46429965549045,92.70424472384983,104.45701192220052,103.04166897243923
0.35,0.8525,0.8175,80.44223402235242,103.01654052734375,105.38690239800347,88.34185682508681,104.70023105197482,102.38616054958767
0.4,0.775,0.8016666666666666,81.8291727701823,104.69588873969184,105.4984590657552,91.68704935709636,105.69787211100261,103.28201375325521
0.45,0.87,0.7966666666666666,81.92147935655383,102.7440234375,102.67679090711805,93.5488062201606,105.35760016547309,103.34685133192275
0.5,0.85,0.8108333333333333,81.54087056477864,103.42138007269966,105.4780332438151,89.18120286729601,105.79629387749566,102.34624464246961
0.55,0.8466666666666667,0.7866666666666666,81.11916361490886,102.41744506835937,104.71117485894096,92.778732164171,105.88504374186198,103.27474338107638
0.6,0.8558333333333333,0.7341666666666666,81.479059109158,102.66337103949652,105.45127902560763,94.03032287597657,105.71757765028212,103.64296780056424
0.65,0.8566666666666667,0.7175,83.72548455132377,103.28698018391927,103.09136223687065,94.64059109157986,105.87818678114148,103.75742045084635
0.7,0.8566666666666667,0.7758333333333334,80.1404547797309,103.68942159016927,105.41428107367621,93.76266560872396,105.54136088053386,103.39579874674479
0.75,0.8491666666666666,0.6958333333333333,80.98465040418836,101.36279622395833,100.95653245713976,98.78307569715712,106.19894185384115,104.54259026421441
0.8,0.8516666666666667,0.715,80.56624220106336,103.99352783203125,100.62664964463977,98.86104756673177,105.85904262966581,104.71310729980469
0.85,0.8658333333333333,0.6883333333333334,84.26804796006945,107.98325642903646,101.26175136990017,101.82748318142362,105.72099182128906,104.63394578721787
0.9,0.87,0.6808333333333333,79.80056803385416,100.0548248969184,99.58116814507379,99.34861056857638,105.99913370768229,104.709264594184
