Lambda,acc,mse_krr,mse_lrr,mse_nn
0.01,0.8500169664065151,0.8376008655630096,0.9028178841996748,0.6555034658121875
0.02,0.8859857482185273,5.460054725513289,0.6586804542920937,0.483111074263026
0.03,0.9182219205972175,7.407822943122172,1.3062071196481995,0.37966387815860114
0.04,0.8883610451306413,3.1878908704691056,1.5074298009774387,0.4600850812520045
0.05,0.9009161859518154,1.6535693913062275,1.0937308422056264,0.45239025810240524
0.06,0.9087207329487614,1.9880166178783127,1.0657417358529624,0.4055481553930213
0.07,0.8988802171700034,6.5085319807947135,1.073029722875781,0.3799412474151081
0.08,0.8798778418730913,2.3136881095174147,1.1618382475054911,0.4593631550862374
0.09,0.8839497794367153,3.163773043909579,0.794962552058093,0.3584453069872943
0.1,0.9063454360366474,1.4090801456103506,0.7139510762811347,0.3516013972921238
0.11,0.8588394977943672,6.495696750948004,1.24208559135188,0.41869277880003053
0.12,0.8995588734306074,2.9828401293551177,1.0595729437605104,0.39066792699002767
0.13,0.8686800135731252,1.372674017595173,0.8727294821765698,0.3920303214224465
0.14,0.8954869358669834,1.7072602961811019,0.6339660802636663,0.4354054964006385
0.15,0.8900576857821514,3.432626039314592,0.7102636548360357,0.4327218039355279
0.16,0.9060061079063454,1.087867658883686,1.0024390369603005,0.46581182438371455
0.17,0.8978622327790974,1.0687969941999806,1.1346614131863157,0.4059521088318652
0.18,0.8707159823549372,0.744203980073591,0.8647678490540086,0.3633651081255864
0.19,0.8815744825246012,2.085872672290105,1.072378708940792,0.4020652969015885
0.2,0.8866644044791313,2.7970612958918917,1.0929796386997703,0.4279912353373674
0.21,0.8788598574821853,4.091214954537585,0.8608764850663981,0.41685153121005797
0.22,0.8961655921275874,1.993142272641214,2.027357117411087,0.370222011355114
0.23,0.8635900916185952,2.801015688586184,0.9594355167998141,0.40349044191484534
0.24,0.8808958262639973,0.9600886881085737,0.6657419351045938,0.38989266070286277
0.25,0.8934509670851714,2.547628056161008,1.1419075732022435,0.3389091490685452
0.26,0.8812351543942993,1.3163018172057526,0.6657295947952454,0.3743752979933693
0.27,0.8937902952154734,1.5975884889269252,0.7896774972204971,0.3102775811172362
0.28,0.8764845605700713,1.9757578310880874,0.950869674437579,0.41323383154767795
0.29,0.8805564981336953,0.9706885879589137,0.8016684273921779,0.3518124409836695
0.3,0.8764845605700713,3.971222870941139,1.280238047956183,0.37081274673102105
0.31,0.8937902952154734,3.858059578498279,0.6754950910264598,0.3538423395107568
0.32,0.8778418730912793,4.0715732403319205,1.055696576896565,0.38592278232970856
0.33,0.8819138106549033,4.801373994278701,0.8059489926231002,0.38531006589155087
0.34,0.8775025449609772,1.4849771699775278,0.9632217455515397,0.37516577655562283
0.35,0.8988802171700034,3.381908166019325,1.1682611621359404,0.4102435271588859
0.36,0.8785205293518833,8.8106061369463,1.1854061897152868,0.4110703604460054
0.37,0.9110960298608755,6.071980359784787,0.4278932030347361,0.37124785939548754
0.38,0.8873430607397353,3.7856031821333227,1.4298512383489448,0.3937319718697628
0.39,0.8703766542246352,3.690208623479377,0.8914727014691227,0.39154981597388544
0.4,0.9049881235154394,5.158594071302038,0.8189052398688125,0.4005781043207289
0.41,0.8785205293518833,1.8147329232533678,1.423608501819247,0.3565726797531979
0.42,0.8975229046487954,4.593106941253695,1.1137930441908876,0.3651688210392817
0.43,0.8863250763488293,2.2507412937460693,1.206796879687653,0.39393719897986273
0.44,0.9009161859518154,2.0597730326808565,1.233211226279555,0.3920944103531589
0.45,0.9022734984730234,6.356919172304363,2.017111457983576,0.41112592394647973
0.46,0.8635900916185952,2.161390846534271,1.2263836928658352,0.3663159422498423
0.47,0.8975229046487954,1.9153948580291709,0.9435697201612736,0.37056459780663
0.48,0.9043094672548354,4.889913309594452,0.8507426020987531,0.36075772449925425
0.49,0.8934509670851714,1.722453964149588,1.0916889607613653,0.350721244643569
0.5,0.8910756701730573,3.0786001120713196,0.4775502190470366,0.38085500642330444
0.51,0.8842891075670173,4.107818606602015,1.2582595026951229,0.43912188122059015
0.52,0.8988802171700034,1.5265349355351594,0.8491335619349227,0.3581300885048053
0.53,0.8903970139124533,4.131440351792152,0.8275553800456038,0.421818029464567
0.54,0.8920936545639634,0.8125634190277096,0.6308452372435512,0.36140093690978153
0.55,0.8937902952154734,4.289105298866469,0.391226623173158,0.36888842692815016
0.56,0.8802171700033933,3.033644593586811,1.2874309334834484,0.39316675243674626
0.57,0.8744485917882593,6.451769744280186,0.6381262129492395,0.37215151506619415
